country_code,browser_name,browser_version,os_name,os_version,traffic
XX,"Chrome Mobile",41.0.2272.96,Android,5.0.2,25
XX,"Chrome Mobile",38.0.2125.114,Android,4.1.1,290
XX,"Chrome Mobile",43.0.2357.93,Android,4.2.2,243
XX,"Chrome Mobile",47.0.2526.83,Android,5.0,2870
XX,"Chrome Mobile",33.0.0.0,Android,4.4.3,1624
XX,"Chrome Mobile",51.0.2704.81,Android,5.0,91050
XX,"Chrome Mobile",51.0.2704.104,iOS,9_3,472
XX,"Chrome Mobile",52.0.2743.98,Android,5.0,30846
XX,"Opera Mobile",8.65,Symbian,9.2,1
XX,"Chrome Mobile",53.0.2785.57,Android,6.0.1,82
XX,Safari,,iOS,9_0_2,2855
XX,"Chrome Mobile",36.0.1985.135,Android,4.4.2,4696
XX,"Chrome Mobile",52.0.2743.98,Android,6.0.1,304423
XX,"Chrome Mobile",51.0.2704.81,Android,4.4.4,74294
XX,"Opera Mobile",37.0.2192.105088,Android,5.0.2,448
XX,"Chrome Mobile",49.0.2623.105,Android,4.4.2,5614
XX,"Chrome Mobile",33.0.0.0,Android,5.1,1035
XX,"UC Browser",9.3.0.326,iOS,8_3,2
XX,UP.Browser,5.0.3.3,RIM,4.0.0,44
XX,"Nokia S60 Browser",7.1.19974,Symbian,9.3,2
XX,"UC Browser",10.10.1.812,Android,5.1,3
XX,"Chrome Mobile",49.0.2623.105,Android,5.1.1,9255
XX,"Chrome Mobile",50.0.2661.89,Android,5.0.1,5445
XX,Firefox,36.0,Android,,86
XX,"Samsung Browser",3.2,Android,5.1.1,4901
XX,Safari,,iOS,8_3,12495
XX,"UC Browser",10.9.0.731,Android,5.0.1,7
XX,Safari,7.0,iOS,7_0_5,128
XX,"Opera Mini",4.2.13918/28.2555,,,8
XX,"Chrome Mobile",51.0.2704.81,Android,6.0.1,562213
XX,"Chrome Mobile",49.0.2623.105,Android,4.4.4,3218
XX,UP.Browser,,RIM,4.2.0,65
XX,"Chrome Mobile",49.0.2623.105,Android,6.0.1,6854
XX,"Chrome Mobile",52.0.2743.84,iOS,9_3,347
XX,Safari,9.0,iOS,9_3_1,174742
XX,"MIUI Browser",8.1.2,iOS,6_0_1,1
XX,"Chrome Mobile",50.0.2661.89,Android,5.0.2,7872
XX,"Chrome Mobile",51.0.2704.104,iOS,9_3_2,64905
